osmid,highway,oneway,reversed,length,name,geometry,lanes,junction,maxspeed,access,ref
1266720070,motorway_link,True,False,18.458538005499474,,"LINESTRING (34.7616766 32.0152623, 34.7616758 32.0150963)",,,,,
221776836,secondary,True,False,33.47546283026413,יוספטל,"LINESTRING (34.7616766 32.0152623, 34.7616186 32.0152696, 34.7613273 32.0153161)",,,,,
28536314,motorway_link,True,False,57.504436718955596,,"LINESTRING (34.7616758 32.0150963, 34.7616769 32.0150232, 34.7616842 32.0145792)",,,,,
408943856,motorway_link,True,False,38.629287144115715,,"LINESTRING (34.7616756 32.0156097, 34.7616766 32.0152623)",,,,,
28536327,motorway_link,True,False,50.44556037159571,,"LINESTRING (34.7616756 32.0156097, 34.7616229 32.0154719, 34.7615754 32.0154102, 34.7615371 32.01538, 34.7614557 32.0153417, 34.7613273 32.0153161)",,,,,
114317774,tertiary,True,False,15.353426641717355,אלי כהן,"LINESTRING (34.7592741 32.0156974, 34.759258 32.01556)",,,,,
1124821792,secondary,True,False,190.93750984808275,יוספטל,"LINESTRING (34.7592741 32.0156974, 34.7591771 32.0157121, 34.7591216 32.0157205, 34.7588747 32.0157465, 34.7583832 32.0158009, 34.7579747 32.0158317, 34.7572591 32.0158402)",,,,,
1124821778,tertiary,True,False,15.188388450089246,מבצע סיני,"LINESTRING (34.7593568 32.015545, 34.759369 32.0156812)",,,,,
177661042,secondary,True,False,21.973401923476647,יוספטל,"LINESTRING (34.7593568 32.015545, 34.759431 32.0155339, 34.7595863 32.0155106)",2,,,,
44672408,tertiary,False,False,101.70721724943276,מבצע סיני,"LINESTRING (34.7592499 32.0171388, 34.759309 32.0162255)",,,,,
44672408,tertiary,False,True,34.404055985699,מבצע סיני,"LINESTRING (34.7592499 32.0171388, 34.7592405 32.0174481)",,,,,
44672404,residential,False,True,121.05238406327004,הגבעות,"LINESTRING (34.7592499 32.0171388, 34.7598054 32.0171635, 34.760533 32.0171731)",,,,,
59265251,residential,False,True,45.13551839244604,ליבורנו,"LINESTRING (34.7604451 32.0134886, 34.7605884 32.0138759)",,,,,
59265251,residential,False,False,31.051063099309918,ליבורנו,"LINESTRING (34.7604451 32.0134886, 34.7604058 32.0133328, 34.7603819 32.0132146)",,,,,
1124821818,residential,False,False,75.34787922537345,דוד רזיאל,"LINESTRING (34.7604451 32.0134886, 34.7600106 32.0135766, 34.7596718 32.0136589)",,,,,
28941288,tertiary,True,False,7.720472370155138,,"LINESTRING (34.7438911 32.0324757, 34.7439203 32.0324855, 34.7439588 32.0325132)",1,roundabout,,,
28941303,residential,False,True,398.68078854630426,יורדי הים,"LINESTRING (34.7435556 32.0324837, 34.7433667 32.0323477, 34.7429884 32.0321123, 34.7426293 32.0319123, 34.7423945 32.0317007, 34.7422987 32.0315976, 34.7422286 32.0314513, 34.7420898 32.0311443, 34.7420116 32.0308615, 34.7419901 32.0307891, 34.7419748 32.0307285, 34.741961 32.0306786, 34.7419175 32.0305142, 34.7418944 32.030427, 34.7418652 32.0303186, 34.741695 32.0299873, 34.7414117 32.0296599, 34.7413087 32.0296817)",2,,,,
28941305,residential,True,False,18.322989358357727,יורדי הים,"LINESTRING (34.7435556 32.0324837, 34.743603 32.0324978, 34.7436651 32.0325071, 34.7436958 32.0325086, 34.7437437 32.0324955)",,,,,
755432394,residential,True,False,103.05034539160911,חנה סנש,"LINESTRING (34.7451064 32.0286706, 34.7450651 32.028711, 34.74503 32.0287306, 34.7449829 32.0287489, 34.7449334 32.0287542, 34.7440508 32.0286851)",,,,,
"[1189446350, 1187640542]",tertiary,True,False,152.11244395509158,בלפור,"LINESTRING (34.7451064 32.0286706, 34.7447993 32.029721, 34.7447182 32.0299984)","['2', '1']",,,,
1124805897,tertiary,True,False,27.35133519776278,בלפור,"LINESTRING (34.7447182 32.0299984, 34.7446295 32.0302326)",2,,,,
33899120,tertiary_link,True,False,28.989246867454415,,"LINESTRING (34.7447182 32.0299984, 34.7447519 32.0300517, 34.7447904 32.0300929, 34.7448426 32.030132, 34.744934 32.030175)",,,,,
28941303,residential,False,False,398.6807885463043,יורדי הים,"LINESTRING (34.7413087 32.0296817, 34.7414117 32.0296599, 34.741695 32.0299873, 34.7418652 32.0303186, 34.7418944 32.030427, 34.7419175 32.0305142, 34.741961 32.0306786, 34.7419748 32.0307285, 34.7419901 32.0307891, 34.7420116 32.0308615, 34.7420898 32.0311443, 34.7422286 32.0314513, 34.7422987 32.0315976, 34.7423945 32.0317007, 34.7426293 32.0319123, 34.7429884 32.0321123, 34.7433667 32.0323477, 34.7435556 32.0324837)",2,,,,
28941346,tertiary,True,False,25.067695493876585,הגבול (שמחה הולצברג),"LINESTRING (34.7442184 32.0324977, 34.7440885 32.0325681, 34.7440006 32.0326266)",,,,,
32643690,residential,False,True,81.3959101265104,אבא ברדיצ'ב,"LINESTRING (34.7491102 32.0297232, 34.7486874 32.0292309, 34.748608 32.0291279)",,,,,
1046589444,tertiary,True,False,71.70817708596003,הגבול (שמחה הולצברג),"LINESTRING (34.7491102 32.0297232, 34.7491486 32.0297026, 34.7496456 32.0294341, 34.7497506 32.0293752)",2,,,,
159555086,tertiary,True,False,52.39852505822924,הגבול (שמחה הולצברג),"LINESTRING (34.7486558 32.0299946, 34.7486859 32.0299767, 34.7487282 32.0299514, 34.7491102 32.0297232)",1,,,,
159555091,tertiary,True,False,3.9844954771663446,,"LINESTRING (34.7470806 32.0308991, 34.7470926 32.0308843, 34.7471094 32.0308735)",,roundabout,,,
159555087,tertiary,True,False,149.4569754562781,הגבול (שמחה הולצברג),"LINESTRING (34.7457548 32.0316318, 34.7458536 32.0315785, 34.747044 32.0309365, 34.7470551 32.0309277, 34.747066 32.0309148, 34.7470806 32.0308991)",1,,,,
28941454,residential,False,True,18.52913960052739,הראשונים,"LINESTRING (34.748608 32.0291279, 34.748776 32.0290414)",,,,,
32643813,residential,True,False,65.84948471633905,הראשונים,"LINESTRING (34.748608 32.0291279, 34.7480384 32.0294707)",,,,,
32643690,residential,False,False,81.3959101265104,אבא ברדיצ'ב,"LINESTRING (34.748608 32.0291279, 34.7486874 32.0292309, 34.7491102 32.0297232)",,,,,
